표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7044960003","044960","이글벳","이글벳","Eagle Veterinary Technology Co.,Ltd","2000/11/16","KOSDAQ","주권","중견기업부","보통주","500","12641883"
"KR7302430004","302430","이노메트리","이노메트리","INNOMETRY Co., Ltd.","2018/12/12","KOSDAQ","주권","벤처기업부","보통주","500","9774536"
"KR7073490005","073490","이노와이어리스","이노와이어리스","InnoWireless Co.,Ltd.","2005/02/04","KOSDAQ","주권","우량기업부","보통주","500","6737544"
"KR7086250008","086250","이노와이즈","이노와이즈","INNOWISE CO.,LTD","2006/11/10","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","30810174"
"KR7215790007","215790","이노인스트루먼트","이노인스트루먼트","INNO INSTRUMENT INC.","2015/05/08","KOSDAQ","주권","중견기업부","보통주","500","40283149"
"KR7246960009","246960","이노테라피","이노테라피","InnoTherapy Inc.","2019/02/01","KOSDAQ","주권","기술성장기업부","보통주","500","5044184"
"KR7088390000","088390","이녹스","이녹스","INNOX Corporation","2006/10/20","KOSDAQ","주권","중견기업부","보통주","500","9350844"
"KR7272290008","272290","이녹스첨단소재","이녹스첨단소재","INNOX Advanced Materials Co., Ltd.","2017/07/10","KOSDAQ","주권","우량기업부","보통주","500","9502493"
"KR7053350005","053350","이니텍","이니텍","INITECH Co., Ltd.","2001/11/15","KOSDAQ","주권","중견기업부","보통주","500","19790916"
"KR7258610005","258610","이더블유케이","이더블유케이","EWK Inc.","2017/08/22","KOSDAQ","주권","벤처기업부","보통주","500","14474525"
"KR7215090002","215090","이디티","이디티","EHWA DEFENSE TECHNOLOGY","2015/04/28","KOSDAQ","주권","중견기업부","보통주","100","26144727"
"KR7041520008","041520","이라이콤","이라이콤","e-LITECOM CO., LTD.","2003/07/04","KOSDAQ","주권","중견기업부","보통주","500","12188730"
"KR7264850009","264850","이랜시스","이랜시스","Elensys Co.,Ltd.","2017/06/01","KOSDAQ","주권","중견기업부","보통주","100","28751812"
"KR7054210000","054210","이랜텍","이랜텍","Elentec Co., Ltd","2002/05/09","KOSDAQ","주권","중견기업부","보통주","500","24037769"
"KR7164060006","164060","이루다","이루다","ILOODA Co.,Ltd","2020/08/06","KOSDAQ","주권","벤처기업부","보통주","500","7794560"
